data,hora_inicio,hora_fim,servico_amostra,sentido_amostra,id_veiculo_amostra,flag_reprocessamento,protocolo,datetime_partida_amostra,datetime_chegada_amostra,status,data_apurado,id_veiculo_apurado,servico_apurado,sentido_apurado,datetime_partida_apurado,datetime_chegada_apurado
2022-10-10,07:33:00,08:49:00,SP483,,31147,1,SMTR202211006029,2022-10-10 07:33:00,2022-10-10 08:49:00,,,,,,,
2022-10-10,21:53:00,22:21:00,SP483,,31147,1,SMTR202211006027,2022-10-10 21:53:00,2022-10-10 22:21:00,,,,,,,
2022-10-10,08:21:00,09:25:00,SP483,,31145,1,SMTR202211006025,2022-10-10 08:21:00,2022-10-10 09:25:00,,,,,,,
2022-10-10,13:26:00,14:21:00,SP483,,31068,1,SMTR202211006022,2022-10-10 13:26:00,2022-10-10 14:21:00,,,,,,,
2022-10-10,07:49:00,09:39:00,SP483,,31017,1,SMTR202211006021,2022-10-10 07:49:00,2022-10-10 09:39:00,,,,,,,
2022-10-10,19:34:00,20:55:00,SP485,,58174,1,SMTR202211006020,2022-10-10 19:34:00,2022-10-10 20:55:00,,,,,,,
2022-10-10,23:04:00,23:54:00,SP485,,31113,1,SMTR202211006018,2022-10-10 23:04:00,2022-10-10 23:54:00,,,,,,,
2022-10-10,22:39:00,23:39:00,SP485,,31030,1,SMTR202211006016,2022-10-10 22:39:00,2022-10-10 23:39:00,,,,,,,
2022-10-10,06:29:00,07:47:00,SP485,,31013,1,SMTR202211006014,2022-10-10 06:29:00,2022-10-10 07:47:00,,,,,,,
2022-10-10,00:59:00,02:08:00,404,,31014,1,SMTR202211006010,2022-10-10 00:59:00,2022-10-10 02:08:00,,,,,,,
2022-10-10,02:35:00,03:31:00,906,,31156,1,SMTR202211006009,2022-10-10 02:35:00,2022-10-10 03:31:00,,,,,,,
2022-10-10,01:31:00,02:28:00,906,,31156,1,SMTR202211006008,2022-10-10 01:31:00,2022-10-10 02:28:00,,,,,,,
2022-10-10,00:02:00,01:25:00,906,,31152,1,SMTR202211006007,2022-10-10 00:02:00,2022-10-10 01:25:00,,,,,,,
2022-10-10,02:55:00,03:52:00,906,,31152,1,SMTR202211006006,2022-10-10 02:55:00,2022-10-10 03:52:00,,,,,,,
2022-10-10,01:57:00,02:54:00,906,,31152,1,SMTR202211006005,2022-10-10 01:57:00,2022-10-10 02:54:00,,,,,,,
2022-10-10,08:28:00,09:47:00,906,,31122,1,SMTR202211006004,2022-10-10 08:28:00,2022-10-10 09:47:00,,,,,,,
2022-10-10,07:28:00,08:57:00,906,,31110,1,SMTR202211006002,2022-10-10 07:28:00,2022-10-10 08:57:00,,,,,,,
2022-10-10,14:54:00,15:57:00,906,,31087,1,SMTR202211005998,2022-10-10 14:54:00,2022-10-10 15:57:00,,,,,,,
